xp.mt_main_poi_id	xp.mt_poi_cate2_id	xp.mt_poi_cate3_id	xp.poi_name
6720012	229	2001	来之御三汁焖锅（金沙大道店）
6731757	23	2042	御徒町居酒屋 活章鱼专门店
6769030	201	244	尚渔三汁焖锅
6771354	201	244	过锅瘾三汁焖锅
6775737	23	2042	和洋居酒屋
6801215	229	2001	胡桃左私房焖锅
6806535	201	244	来御来三汁焖锅
6812494	23	2042	家康居酒屋
6824520	201	244	黄记煌三汁焖锅（安河桥华联店）
6832072	201	244	黄记煌三汁焖锅（永旺梅江店）
6842418	201	244	财记柴焖锅（岳西店）
6855478	229	2001	御唯鲜营养焖锅（团结路店）
6868770	201	244	黄记煌三汁焖锅（观音桥奥特莱斯店）
6874356	229	2003	霍记三汁焖锅
6898747	201	244	御记煌三汁焖锅
6901547	23	2042	夕月居酒屋日式料理
6907426	23	2042	日本料理屯居酒屋
6914723	30	1998	一哥三汁焖锅煲仔饭
6917402	201	244	和福顺养生焖锅
6925887	229	2001	来御来三汁焖锅（华凤店）
6945870	175	2004	聚味祥三汁焖锅
6971903	201	244	鸿记煌三汁焖锅
6991974	201	244	黄尚煌三汁焖锅&重庆鸡公煲（江头店）
6995493	201	244	黄记煌三汁焖锅（万博店）
40050736	201	244	金鼎御记煌三汁焖锅（金鼎店）
40067310	201	244	和福顺养生焖锅
40076913	201	244	财记柴焖锅
40083056	201	244	上品黄记煌三汁焖锅
40084117	201	244	今味老李家焖锅王
40092550	201	244	重庆焖锅王
40092625	229	2001	和福顺养生焖锅
40153651	201	244	鸿记煌三汁焖锅
40157387	10	11	吉东家焖锅
